siteID,labno,dateon,dateoff,yrmonth,ph,Conduc,flagCa,Ca,flagMg,Mg,flagK,K,flagNa,Na,flagNH4,NH4,flagNO3,NO3,flagCl,Cl,flagSO4,SO4,flagBr,Br,svol,ppt,subppt,valcode,invalcode,modifiedOn
NY06,TL0179SW,"2013-01-22 12:10","2013-01-29 12:15",201301,4.840,29.200, ,0.699, ,0.101, ,0.036, ,1.932, ,0.807, ,1.888, ,3.029, ,2.671,0,-9,-9.000,8.382,8.382,w ,            ,7/25/2014 12:00:00 AM
NY06,TL0463SW,"2013-01-29 12:20","2013-02-05 12:05",201302,5.120,23.600, ,0.328, ,0.192, ,0.098, ,2.156, ,0.507, ,1.330, ,3.461, ,1.758,0,-9,-9.000,31.750,31.750,w ,            ,7/25/2014 12:00:00 AM
NY06,TL0752SW,"2013-02-05 12:10","2013-02-12 12:10",201302,-9.000,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000,0,-9,-9.000,46.990,46.990,  ,c           ,7/25/2014 12:00:00 AM
NY06,TL0981SW,"2013-02-12 12:15","2013-02-19 12:10",201302,4.290,46.600, ,0.632, ,0.080, ,0.056, ,0.482, ,2.263, ,7.667, ,0.830, ,3.961,0,-9,-9.000,1.778,1.778,w ,            ,7/25/2014 12:00:00 AM
NY06,TL1270SW,"2013-02-19 12:15","2013-02-26 12:10",201302,5.120,24.300, ,0.630, ,0.223, ,0.077, ,1.414, ,0.827, ,1.460, ,2.350, ,2.686,0,-9,-9.000,8.890,8.890,w ,            ,7/25/2014 12:00:00 AM
NY06,TL1562SW,"2013-02-26 12:15","2013-03-05 12:05",201303,5.360,14.000, ,0.218, ,0.162, ,0.074, ,1.293, ,0.107, ,0.289, ,2.360, ,0.885,0,-9,-9.000,22.860,22.860,w ,            ,7/25/2014 12:00:00 AM
NY06,TL1846SW,"2013-03-05 12:15","2013-03-12 11:10",201303,5.510,13.200, ,0.363, ,0.157, ,0.043, ,1.013, ,0.239, ,0.610, ,1.807, ,1.278,0,-9,-9.000,16.764,16.764,w ,            ,7/25/2014 12:00:00 AM
NY06,TL2131SW,"2013-03-12 11:15","2013-03-19 11:10",201303,5.390,14.600, ,0.214, ,0.155, ,0.058, ,1.257, ,0.246, ,0.650, ,2.224, ,1.000,0,-9,-9.000,47.244,47.244,w ,            ,7/25/2014 12:00:00 AM
NY06,TL2360SW,"2013-03-19 11:15","2013-03-26 11:15",201303,4.990,25.500, ,0.631, ,0.222, ,0.074, ,1.400, ,0.686, ,2.378, ,2.437, ,2.351,0,-9,-9.000,8.636,8.636,w ,            ,7/25/2014 12:00:00 AM
NY06,TL2639SW,"2013-03-26 11:20","2013-04-02 11:15",201303,4.780,25.300, ,0.401, ,0.151, ,0.047, ,0.601, ,1.209, ,1.999, ,1.116, ,3.267,0,-9,-9.000,3.810,3.810,w ,            ,7/25/2014 12:00:00 AM
NY06,TL3216SW,"2013-04-02 11:20","2013-04-09 11:10",201304,-9.000,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000,0,-9,-9.000,0.000,0.000,d ,            ,
NY06,TL3200SW,"2013-04-09 11:15","2013-04-16 11:05",201304,-9.000,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000,0,-9,-9.000,21.844,21.844,  ,c           ,7/25/2014 12:00:00 AM
NY06,TL3430SW,"2013-04-16 11:10","2013-04-23 11:05",201304,-9.000,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000,0,-9,-9.000,3.302,3.302,  ,c           ,7/25/2014 12:00:00 AM
NY06,TL3753SW,"2013-04-23 11:15","2013-04-30 11:05",201304,-9.000,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000,0,-9,68.500,0.762,0.762,  ,c           ,7/25/2014 12:00:00 AM
NY06,TL4289SW,"2013-04-30 11:15","2013-05-07 11:05",201305,-9.000,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000,0,-9,-9.000,0.000,0.000,d ,            ,
NY06,TL4226SW,"2013-05-07 11:15","2013-05-14 11:05",201305,5.210,8.600, ,0.080, ,0.065, ,0.062, ,0.465, ,0.182, ,0.582, ,0.819, ,0.601,0,-9,5026.000,70.612,70.612,w ,            ,7/25/2014 12:00:00 AM
NY06,TL4530SW,"2013-05-14 11:15","2013-05-21 11:05",201305,5.750,9.000, ,0.175, ,0.044, ,0.032, ,0.167, ,0.663, ,0.960, ,0.279, ,1.239,0,-9,1253.800,17.018,17.018,w ,            ,7/25/2014 12:00:00 AM
NY06,TL4749SW,"2013-05-21 11:15","2013-05-28 11:05",201305,5.210,7.000, ,0.086, ,0.035, ,0.051, ,0.163, ,0.227, ,0.666, ,0.291, ,0.570,0,-9,2611.800,37.338,37.338,w ,            ,7/25/2014 12:00:00 AM
NY06,TL5042SW,"2013-05-28 11:15","2013-06-04 11:15",201305,5.220,8.300, ,0.118, ,0.023, ,0.022, ,0.053, ,0.454, ,1.015, ,0.091, ,0.905,0,-9,3130.500,44.958,44.958,w ,            ,7/25/2014 12:00:00 AM
NY06,TL5375SW,"2013-06-04 11:20","2013-06-11 11:15",201306,5.320,5.700, ,0.041, ,0.030, ,0.014, ,0.247, ,0.101, ,0.351, ,0.436, ,0.314,0,-9,10675.800,149.098,149.098,w ,            ,7/25/2014 12:00:00 AM
NY06,TL5631SW,"2013-06-11 11:20","2013-06-18 11:10",201306,4.880,13.100, ,0.114, ,0.083, ,0.033, ,0.584, ,0.259, ,1.144, ,1.065, ,0.754,0,-9,2518.300,36.068,36.068,w ,            ,7/25/2014 12:00:00 AM
NY06,TL5894SW,"2013-06-18 11:20","2013-06-25 11:10",201306,4.660,17.000, ,0.105, ,0.022, ,0.013, ,0.058, ,0.631, ,1.994, ,0.140, ,1.401,0,-9,921.500,13.208,13.208,w ,            ,7/25/2014 12:00:00 AM
NY06,TL6174SW,"2013-06-25 11:20","2013-07-02 11:05",201306,4.950,10.200, ,0.123, ,0.047, ,0.028, ,0.257, ,0.250, ,0.941, ,0.473, ,0.845,0,-9,2146.000,29.972,29.972,w ,            ,7/25/2014 12:00:00 AM
NY06,TL6410SW,"2013-07-02 11:20","2013-07-09 11:05",201307,-9.000,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000,0,-9,600.000,7.874,7.874,  ,c           ,7/25/2014 12:00:00 AM
NY06,TL6712SW,"2013-07-09 11:20","2013-07-16 11:05",201307,-9.000,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000, ,-9.000,0,-9,1581.300,22.606,22.606,  ,c           ,7/25/2014 12:00:00 AM
NY06,TL6968SW,"2013-07-16 11:20","2013-07-23 11:05",201307,4.780,14.400, ,0.154, ,0.049, ,0.016, ,0.222, ,0.548, ,1.869, ,0.375, ,1.044,0,-9,1057.100,14.732,14.732,w ,            ,7/25/2014 12:00:00 AM
NY06,TL7217SW,"2013-07-23 11:20","2013-07-30 11:05",201307,4.980,12.800, ,0.202, ,0.064, ,0.016, ,0.292, ,0.456, ,1.677, ,0.532, ,0.985,0,-9,542.900,8.382,8.382,w ,            ,7/25/2014 12:00:00 AM
NY06,TL7512SW,"2013-07-30 11:20","2013-08-06 11:05",201308,4.720,16.600, ,0.325, ,0.078, ,0.021, ,0.329, ,0.486, ,1.894, ,0.636, ,1.386,0,-9,758.800,11.684,11.684,w ,            ,7/25/2014 12:00:00 AM
